Unnamed: 0,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,appVersion,App,emojis_gpt,pos_ux_gpt,neg_ux_gpt,pos_ppl_gpt,neg_ppl_gpt,price_gpt,fraud_gpt,ban_gpt,pos_sent_gpt,neg_sent_gpt,content_word_count
27,Sonia vivienne-thorp,The Best International dating site !,5,0,2023-03-07 10:05:11,Thanks for sharing your review with us and the community.,2023-03-08 07:24:47,6.13.11,Luxy,0,0,0,0,0,0,0,0,1,0,6
28,Imraan Ahmad,What kind of apps do you have? Everything requires money. I spent 112 riyals and still need money.,2,0,2025-01-12 13:18:02,"Salam Imraan,

Thank you for your review.

Please be advised that it is completely free to Match and Chat if both members Like each other.

Muzz Gold offers a collection of exclusive features, but you can still always Like, Match and Chat completely free.

If you require any further help, please feel free to contact us at hello@muzz.com.",2025-03-06 16:36:03,8.34.1a,Muzz,0,0,0,0,0,1,0,0,0,1,18
29,Elvis Alika,Nice and perfect app to be,5,0,2025-03-03 20:36:20,We appreciate your kind words. 🙌,2025-03-04 01:30:18,5.407.0,Bumble,0,0,0,0,0,0,0,0,1,0,6
30,Lati Matjeni,"Endorsed a friend, but didn't get to skip the line",1,1,2023-04-19 19:17:25,Hello Lati - Thanks for the review. It's possible the Endorsement did not go through. Please email support@theleague.com for them to further investigate.,2023-04-19 22:48:42,1.36.0,League,0,0,1,0,0,0,0,0,0,1,10
31,hariom sharma,Not good app,1,0,2025-03-07 11:40:41,,,25.1.1,Grindr,0,0,0,0,1,0,0,0,0,1,3
32,Loving Girl,I signed up paid 60 dollars less than 10 hours later my account was blocked and they refuse to refund my money. Im pissed and i want my refund back.,1,0,2023-04-21 13:25:31,"We want Luxy to be a safe place for dating and meeting new people. We've created Community Guidelines that set out our policies for what we do and don't allow on Luxy. If you have any doubt, feel free to contact us.",2023-04-23 09:23:51,6.13.13,Luxy,0,0,0,0,1,1,0,1,0,1,30
33,kameron kendall,"distance slider does literally nothing, regardless of if someone has liked me I keep getting shown people way outside of my set range, and people on the app have told me the same has happened to them with me being outside of their set range, I'm trying to find people I can meet, but most of the people I've talked to could only really be long distance, like I've been shown people almost 200 miles away multiple times, and it only says the location of people, not the distance, so you can't tell",2,15,2025-02-10 17:23:32,"Hi Kameron, Incoming likes, which may only partially match your distance preference, are occasionally shuffled into the Discovery so that you can like them back without needing a Premium plan. You may also view profiles outside your range due to the lack of users in your current location. Please contact us at support@taimi.com for further details💜",2025-02-10 17:54:01,5.1.338,Taimi,0,0,1,0,1,0,0,0,0,1,93
34,Carolyn Janzen,Its a scam to get you to pay before you can do anything. The men are not worth it that you see. They regurgitate photos of the same person but different job. Waste of time and money. All they want is money. Guys have been on there for years with no luck.,1,4,2022-09-20 12:36:10,"Hi, thanks for using Luxy! Luxy offers many free easy-to-use features. As a basic member, you are free to message your matches， which is based on mutual likes. And of course you can also choose to upgrade your account to access more advanced features. Please contact us at support@onluxy.com if you have any questions.",2022-09-21 07:31:23,6.9.3,Luxy,0,0,0,0,1,1,0,0,0,1,52
35,shawn Helgeson,To many fake accounts,1,2,2025-03-03 06:52:43,,,9.67.0,Hinge,0,0,0,0,1,0,1,0,0,1,4
36,Stephan,"Aside from getting banned for no given reason and one flimsical try given to appeal (without knowing what you apparently did wrong - may it be supposed payment issues or someone thinking you said something you didn't mean..) - this app is stricken with paywalls. It hides possible matches behind a invisible wall, and if you pay up, they magically appear - but only if you spend a rose to get in touch with them. How do you get a rose? By paying or waiting one week. Btw your device gets banned.",1,7,2025-03-01 17:21:24,,,9.67.0,Hinge,0,0,1,0,1,1,0,1,0,1,92
37,Josiph Welton,Forcing user to use the app more than once week is a bad move tinder. Fix it or I'm deleting it,1,1,2025-03-07 20:10:52,,,16.2.1,Tinder,0,0,0,0,0,0,0,0,0,1,21
38,Arham Suriya (HeluuArham),it's a veryyyy gouud app.... it cheered my and a very special persons mood together by seeing everyone in it 😭😭😭.... didn't used it for it's purpose but loved it for entertainment 😊... came in help 😭,5,1,2025-01-06 10:28:11,"Salam,

Thank you for your review.

If you have any suggestions on how we can improve, please do reach out to us at feedback@muzz.com.

Thank you.",2025-01-09 16:06:06,8.33.0a,Muzz,1,0,0,1,0,0,0,0,1,0,37
39,Sandy Coyer,They don't tell you that you have to pay for it to send a message to anyone...,2,2,2023-02-10 03:50:44,"Dear user, thanks for reaching out to us. In fact, we have some free features such as spark, unlimited replies to messages, moment, etc. If you have any questions, you can send your request to support@seniormatch.com and include the email.
",2023-02-13 03:14:42,7.5.8,Senior_Match,0,0,0,0,0,1,0,0,0,1,17
40,Evan Rodriguez,You can't cancel please don't use.,1,0,2024-03-01 21:06:35,"We are sorry to hear this, Evan! You can find the information about the cancellation on our Help pages, or reach out to our customer support team. They will be happy to answer any questions you may have about our app, subscription and features. Thank you!",2024-03-03 16:40:55,5.3.4,Christian_Mingle,0,0,0,0,1,0,0,0,0,1,6
41,Lea Bone,"50 dollars a month is ridiculous. Alot of social platforms are free, wanting a little specifics isn't worth a phone bill.",1,0,2023-12-27 01:37:49,"Thank you for your feedback! We are continuously reviewing our pricing structures to ensure a fair price-point for our subscription features. Additionally, we frequently offer discounts on our subscriptions and run seasonal promotions, so be sure to keep an eye out for those!",2023-12-27 06:36:44,,Christian_Mingle,0,0,0,0,0,1,0,0,0,1,21
42,Matt Soap,"the app is too glitchy. the swipes dont seem to register on the explore page. i swipe the same profiles everyday...whether I swipe yes or no I still see the same profiles pop up daily. I understand some people delete their accounts and start again, but it is highly unlikely that all these people are deleting and starting again DAILY. this app is a big time waster",2,410,2025-03-07 19:37:46,,,16.2.1,Tinder,0,0,1,0,0,0,0,0,0,1,67
43,Yuritze Pnck Grnt,Do not waste your time!,1,1,2023-03-04 00:36:18,"Hi, thanks for using Luxy! Sorry to hear this. Is there anything specific we can do to improve? Please write to us at support@onluxy.com.",2023-03-06 07:44:13,,Luxy,0,0,0,0,1,0,0,0,0,1,5
44,Guy Bacon,Best site for those seeking LDS people and standards.,5,0,2023-11-25 03:18:57,,,1.65.3.5,Mutual,0,0,0,0,0,0,0,0,1,0,9
45,Keith,Fun,5,0,2025-02-15 03:19:17,Thanks for sharing your experience! We're thrilled to hear you're having fun on Taimi. Keep enjoying! Your Taimi Team 🌈,2025-02-15 03:20:10,5.1.342,Taimi,0,0,0,0,0,0,0,0,1,0,1
46,Charles Witt,"Wow. So many women liked me. I'm crazy though, so I am marrying the first one that found me. She found me either my second or third day in the Mutual app. She was about to give up for awhile. Timing was perfect. We're getting married in 3 months and the honeymoon is already planned.",5,0,2023-09-23 15:08:35,,,1.63.4.1,Mutual,0,0,0,1,0,0,0,0,1,0,55
47,Angel Stevens,This app wasted my time just to be denied in the review process. If you can please find another app to sign up on . 24 hour wait isn't worth anyone's time unless you pay to skip it .,1,2,2022-08-08 00:49:31,"Hi, thanks for using Luxy! Luxy is a dating app that only serves successful or attractive members. We keep to maintaining a high level of restriction approved by our committee of trustees. Every new applicant can use Luxy for free after passing the review. If you have any questions, please send us an email to support@onluxy.com. Thanks.",2022-08-09 08:18:47,,Luxy,0,0,1,0,0,1,0,0,0,1,39
48,Benjamin C,"I had previously canceled my subscription with Christian mingle through their app. Did the stop auto renewal. Thought they wouldn't bill me again, I was wrong. This app will steal your money. It's also a bogus scam. Seriously the app isn't a guarantee that you're going to meet a good Christian. Every one is better off using Facebook dating or Tinder and just stating that you're an adamant follower of Jesus than to use this scam artist of a dating site. Their customer support is a joke as well.",1,0,2024-04-21 00:08:46,"We're sorry to hear that the renewal of your subscription may have been unexpected. Our subscriptions renew automatically unless you cancel them, and this needs to be done via the app or on our website (depending on the way you purchased). Please contact our support team again, and we'll take your feedback on board and answer questions you have.",2024-04-21 18:42:39,5.3.4,Christian_Mingle,0,0,1,0,1,1,0,0,0,1,89
49,Stormy Middleton,Absolutely every feature is paywalled. So good luck with that.,1,0,2025-02-16 13:59:34,"Thank you for your review. We understand your concern regarding the paywalls. Taimi does offer a variety of free features, and our Premium tiers cater to additional needs. For tips on maximizing free features, feel free to reach out to us at support@taimi.com. Your Taimi Team 🌈",2025-02-16 14:30:14,5.1.342,Taimi,0,0,1,0,0,1,0,0,0,1,10
50,Patrick Ellermann Gorgin,"Barely works half the time... And every time they fix a bug, they introduce a new one, and then when they fix the new bug, they somehow reintroduce the first bug again, and again, and again... But it's unfortunately the app that it seems most people in my area use...",2,0,2025-03-07 23:09:23,"¡Hola Patrick Ellermann Gorgin! Gracias por ponerte en contacto con nosotros. Visita grindr.me/supportform para compartir más detalles o, en tu aplicación Grindr, accede a Configuración > Ayuda > Ponerse en contacto para obtener asistencia directa. Gracias por formar parte de la comunidad Grindr.",2025-03-09 00:19:42,25.2.0,Grindr,0,0,1,0,0,0,0,0,0,1,50
51,Sherri Ruffini,"More scammers and catfish than any other site. More men who ""claim they work for the government on some mission in an obscure destination "" scam, scam!!!Awful experience and waste of time and money. I met a few real people who live too far and wasted my time. Worst experience.",1,6,2022-10-28 12:49:08,"We are very sorry to hear this. We understand your anger just as we hate scammers too. We are working hard to improve our App. If you have any suggestions on how to improve this, please reach us at AppService@millionairematch.com. We apologize for any inconvenience and thank you.",2022-10-31 02:33:21,8.2.2,Millionaire Match,0,0,0,0,1,0,1,0,0,1,50
52,Dave Bloomfield,What a broken app. I can't even log in. I've been referred to use this app I've never heard of. Cool. How would you like to sign in? Facebook or SMS. SMS sounds good. We need to verify your number. Code received. Apparently I entered a 4 digit code wrong? I don't know how but sure send another. I copy and paste it. It's wrong again. That's on you guys. Okay I'll use Facebook. It's connected. But then it's not. And it can't verify. I can't even sign up. The League? More like Little League.,1,5,2024-04-01 01:22:49,Hello Dave - thank you for your review. Please contact support@theleague.com so an agent can help you gain access to your account. Thank you.,2024-04-02 16:17:39,1.111.0,League,0,0,1,0,0,0,0,0,0,1,95
53,Bruce Williams,"I just recently got the app and not sure what to expect, if good or bad or whatever don't know yet, so I won't say it's bad or something else",5,0,2025-02-22 01:54:35,Thanks for the kind rating! Your Taimi Team 🌈,2025-02-22 01:30:19,5.1.342,Taimi,0,0,0,0,0,0,0,0,0,0,30
54,craig smith,Wouldn't let me create an account....no matter how I tried to login....,1,0,2023-11-27 13:27:25,Hello Craig - thank you for your review. Could you please email support@theleague.com so an agent can assist you? Thank you!,2023-11-27 18:28:37,1.77.0,League,0,0,1,0,0,0,0,0,0,1,12
55,Jeffery Tims,AFTER ONE WEEK OF USE PAID IN FULL WAS LOCK OUT A SCAM RIP OFF FRAUD TOTAL RIP OFF 100%SCAM DONT BE FOOLED LIKE ME SCAM FRAUD NO 800 NUMBER TO CALL TO TALK TO ANY ONE BIG SCAM I WANT THE PUBLIC AND EVERYONE TO KNOW ABOUT THIS COMPANY SOMEONE SHOULD CHECK INTO THIS COMPANY FOR THE WAY THEY DO BUSSNESS IT ANT RIGHT,1,5,2022-09-15 17:52:37,"Dear user, thanks for reaching out to us. Scammer detection is our #1 priority. We are working hard to remove fake accounts as soon as possible. So sorry for your inconvenience. If you have any questions, please feel free to contact us at support@seniormatch.com.
",2022-09-16 10:07:30,7.3.4,Senior_Match,0,0,0,0,1,1,0,1,0,1,65
56,Khalid Shab,This app not work for some device plz check,1,0,2025-01-22 19:16:47,"Salam Khalid,

We're very sorry to hear this.

We'd like to get this resolved for you. Please email us at hello@muzz.com and our Community team will look into it for you.

Thank you.",2025-03-06 14:05:20,,Muzz,0,0,0,0,0,0,0,0,0,1,9
57,deminizer,"As a senior, it isn't exactly easy to re-enter the dating pool, especially if you've been with a partner for a long time and that is no longer case. Senior Match makes it easy to date again, no matter what your age might be. It makes it easy to find people you have things in common with based on how you fill out your profile. It even takes the awkwardness out of trying to meet someone you are attracted to, which can be really hard if you haven't had to try for awhile. Thank you Senior Match!",5,285,2023-04-07 00:02:28,,,7.7.6,Senior_Match,0,1,0,1,0,0,0,0,1,0,97
58,Hawartheh Mirjam,False adveretisement about Premium.,1,0,2025-03-06 12:34:27,"Hi there Hawartheh! Thank you for your review. We're sorry about your experience with our subscriptions. You can find all the information about them here: bumble.com/terms. If you have any questions, please contact us via bumble.com/contact or @BumbleSupport on X (Twitter), and we'll be happy to help you.💛",2025-03-06 15:24:49,5.407.0,Bumble,0,0,0,0,0,1,0,0,0,1,4
59,Private Confidential,Good,3,0,2024-10-08 15:36:51,We love having you around. Your support means the world to us! 🌈,2024-10-11 09:03:07,4.0.0,Zoe,0,0,0,0,0,0,0,0,1,0,1
60,Sanchit Chakraborty,"You guys have a really nice security against location spoofing. Tried all ways for a non-rooted Android device to bypass it. FAILED!! 1. Tried using different work profiles 2. Used adb to allow loc spoofing apps to bypass developer options permissions. 3. Blocked grindr from accessing Google play loc api, coarse_loc and fine_loc and ignore mock_loc 4. Keeping the ip and mocked loc same. 5. Vpns 6. Hiding the mock loc app 7. Using location_mode 1. 8. Denied activity_recog. What did I miss??",5,1,2025-03-07 20:15:07,,,25.2.0,Grindr,0,0,0,0,0,0,0,0,0,1,83
61,James Williamson,"You cannot send a simple message just to say hi, and the only way to do it is if you pay for it, and also, I get messages of matches and then I click on the information in my notification bar and look at the matches and then I try to back out of the app but the app locks on and it will not let you leave no matter how many times you keep clicking on the back button it locks on to you and this is Criminal and I am definitely uninstalling.",1,11,2023-11-09 02:48:02,We're very sorry to hear that you feel this way about our app James. We'd love to know more so we can improve our features and user experience. Please contact our customer support team should you have any questions or to share your feedback with us. Thank you!,2023-11-17 10:56:41,5.3.4,Christian_Mingle,0,0,1,0,1,1,0,0,0,1,94
62,Evin Mears,I love mutual and I think its a great app to find great people. I just wish the memberships were cheaper,4,0,2023-10-30 20:04:24,,,1.63.4.1,Mutual,0,0,0,1,0,1,0,0,1,0,21
63,Kelly Michelle,"Easy and stress free. The premium features would probably be great to use but even without them it's not impossible to use this app. Only sorta frustrating part is matching with people who are 40+ miles away, but it is what it is. Kinda wish the app wouldn't allow profiles with zero photos, just black screens. Ads are kinda annoying but not overwhelming. The app should also encourage people to stop using over the top filters. No one can tell what you actually look like.",4,2,2025-02-11 17:38:52,"Thanks for the feedback, Kelly! We require all of our users to have face photos on their profile. If you see a profile that breaks our guidelines, please report it. For more help, please let us know at support@weareher.com :)",2025-02-11 21:11:13,3.26.0,Her,0,0,0,0,0,0,0,0,1,1,85
64,Robert Jones,"Waste of time, effort, money.",1,0,2024-11-11 22:28:17,,,24.07.00,Ourtime,0,0,0,0,1,1,0,0,0,1,5
65,Adnan Khalid,Lovely,5,2,2022-10-30 13:50:02,,,7.3.7,Senior_Match,0,0,0,0,0,0,0,0,1,0,1
66,Tasheika Lawrence,i enjoyed it🥰,5,0,2025-03-07 16:38:12,,,,Tinder,1,0,0,1,0,0,0,0,1,0,3
67,Toby Williams,Scrappy's a fantastic sight to get on can't help you find the right person in the privacy of your conversation is great,5,0,2024-08-03 23:41:45,,,7.30.0,Scruff,0,1,0,1,0,0,0,0,1,0,22
68,Rick Hubble,Anoing,1,1,2023-08-31 04:43:47,,,1.62.3.2,Mutual,0,0,0,0,1,0,0,0,0,1,1
69,Taya Dao,Good site to find high quality match,5,0,2022-11-07 11:20:38,Thanks for sharing your review with us and the community.,2022-11-08 08:34:41,6.11.0,Luxy,0,0,0,1,0,0,0,0,1,0,7
70,Jennifer Kock,use this app you won't regret it,5,0,2025-03-06 17:45:54,Thanks. 💛 It's so great to know that you're enjoying our app.,2025-03-07 02:03:53,5.408.0,Bumble,0,0,0,0,0,0,0,0,1,0,7
71,Britta du Plessis,"Doesn't pick up my location, so doubt that it's any good",1,0,2023-11-26 18:39:49,Hello Britta - thank you for contacting Support. Could you please email support@theleague.com so an agent can assist you? Thank you!,2023-11-27 18:33:31,,League,0,0,1,0,0,0,0,0,0,1,11
72,Charlie Reed,This is a LGBT+ app. Why can't I change my gender from woman to transmasc. Not even once. Am I missing something?,2,0,2025-02-09 00:51:56,"Hello Charlie! To change your gender, please contact the Taimi Live Support chat in the app. We'd be more than happy to assist you. Best wishes, Gohan.",2025-02-09 01:10:07,5.1.338,Taimi,0,0,1,0,0,0,0,0,0,1,22
73,Stephen Timmons,Does not show current location correctly,2,2,2023-01-14 11:10:59,"Dear user, thanks for reaching out to us. Please send your request to support@seniormatch.com and include a screenshot. We will look into this for you when we get your email. Best.",2023-01-16 06:31:21,7.5.6,Senior_Match,0,0,1,0,0,0,0,0,0,1,6
74,Jason Haynes,I want my job back as a underground shopper 18hr and government benefits.,5,0,2023-08-09 15:06:05,"Thanks for your love. If you have any questions, please contact us at AppService@millionairematch.com.",2023-08-10 01:31:10,,Millionaire Match,0,0,0,0,0,0,0,0,0,1,13
75,Khatana Gautam,chatting should be free and who like each other it should be shown by free,3,0,2025-03-05 00:59:53,You don't need to spend any money to match with admirers or notifications in your 'Liked You'. These are people who have already swiped right on your profile and are waiting for you to swipe right on them. You can find them in your swipe deck for free.,2025-03-05 02:57:28,5.407.0,Bumble,0,0,0,0,0,1,0,0,0,1,15
76,My Other Desk,Lots of fake profiles and ads. Can't block them anymore either.,1,2,2025-03-07 11:16:55,,,25.2.0,Grindr,0,0,1,0,1,0,1,0,0,1,11
77,Hristo Dobrev,not transparent at all. how many people are there? how many saw my profile? how many likes do I get per day? how many are remaining? None of that information is available. ok the other hand you are pushed to pay money every second screen,2,0,2025-03-06 05:41:45,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2025-03-06 10:01:44,5.408.0,Bumble,0,0,1,0,0,1,0,0,0,1,45
78,Lynn,Why doesn't someone with money create a Christian website that actually works out for Christian folks.,1,0,2023-12-23 03:51:32,"We are sorry to hear that you feel this way Lynn! We'd love to know more so we can improve our features and user experience. If you could get in touch with our support team, we'll take your feedback into consideration. Thank you!",2023-12-24 19:51:26,,Christian_Mingle,0,0,0,0,0,0,0,0,0,1,16
79,mejhoud Hicham,Very bad application,1,0,2025-01-26 20:47:58,"Salam,

We're sorry to hear about your experience.

If you would like to share any suggestions on how we can improve our service, please email us at feedback@muzz.com.

Thank you.",2025-03-06 12:26:50,,Muzz,0,0,0,0,1,0,0,0,0,1,3
