,App,content,emojis,pos_ux,neg_ux,pos_ppl,neg_ppl,price,fraud,ban,good_match,bad_match,pos_sent,neg_sent,neut_sent
,League,"Got ""called up to the league"" from ok Cupid. I get it, I'm a doctor, this makes sense to me to find other professionals to date. Thanks for the invitations guys. But whoops, I'm on a wait-list of 12,000 people. So really the invite was a money ploy. Plus, I don't use linked in, I'm career actualized, I have no reason to use it. This is misleading, and in addition I highly doubt there are 12,000 men in my area that are of my quality (I know this sounds arrogant, but it's the case.)",0,,1,0,0,1,0,0,0,0,0,1,0
,Christian_Mingle,Canceling is almost impossible!,0,,1,0,0,0,0,0,0,0,0,1,0
,Christian_Mingle,"This is one of the worst dating apps. It's very glitchy, and it's impossible to view the profile of matches. The photos don't always reveal themselves correctly. Such a waste of money. It's sad because it would have been a great way to find other people of faith.",,,1,,,1,,,,,,1,
,Christian_Mingle,capcha doesn't work keeps saying unable verify,0,,1,0,0,0,0,0,0,0,0,1,0
,Christian_Mingle,Horrible app. I hate I paid for it. Never again,0,,0,0,0,1,0,0,0,0,0,1,0
,Christian_Mingle,"I think this is an inefficient use of money a far as the goal of connecting genuinely with someone goes; at least the ""Christian"" aspect seems very dubious to me and CDFF offers essentially the same platform for... FREE! I just don't understand the egregious prices if their actual goal is to help people meet & glorify God. It seems like profit is their main agenda, and it feels like everything is based around that. I don't get that vibe from CDFF at all though.",0,,0,0,0,1,0,0,0,0,0,1,0
,Christian_Mingle,Regret spending my money but they will not let me stop auto renewal on the app. This is by far one of the worst purchases I've made in a look time. The app feels like something from prehistoric internet days. It's so glitch and disfunctional.,0,,1,0,0,1,0,0,0,0,0,1,0
,Muzz,People on Muzz are very non serious.,0,,0,0,1,0,0,0,0,0,0,1,0
,Muzz,I had deleted my account from this app but they still deduct my money.bloody scammers worst experience I want my money back ..... There is no support team where any customers can launch the complaints....,0,,1,0,0,1,0,0,0,0,0,1,0
,Muzz,Best app for Pakistani girls,0,,0,0,0,0,0,0,0,0,1,0,0
,Muzz,Best apps ever,0,,0,0,0,0,0,0,0,0,1,0,0
,Muzz,"I would be great if liked profiles slows randomly, i mean not by date, also i can't see other pictures of profiles it takes too much time to load and filtes does not work at all",0,,1,0,0,0,0,0,0,1,0,1,0
,Muzz,"No difference from Tinder, no one is serious. Only chatting, ghosting, and dating. Nothing halal here, save your time from this BS.",0,,0,0,1,0,0,0,0,0,0,1,0
,Ringle,"Doesn't allow access at all, constant bugs , constant issues",0,,1,0,0,0,0,0,0,0,0,1,0
,Ringle,Very good app.,0,,0,0,0,0,0,0,0,0,1,0,0
,Ringle,"Awful app that isn't debugged. The matches and messages aren't always refreshed automatically and I don't get notifications. This means that I have to periodically open the app and drag to refresh inside the app to find out if I have anything. I've complained months ago and it's still an issue that they are ""supposedly working on and it takes time"". Not only that, it's now constantly ""loading"" so I can't see any profiles with which to swipe. I've tried logging out and back in and reinstalling it",0,,1,0,0,0,0,0,0,0,0,1,0
,Ringle,Good,0,,0,0,0,0,,0,0,0,1,0,0
,Ringle,"I was able to pay for a membership on my phone, but could not find how to create a profile or to do anything else. So far, pretty worthless - you take my money but I can't do anything! Is it only supposed to work on my phone, or can it work on my computer also?",0,,1,0,0,1,0,0,0,0,0,1,0
,Ringle,No women,0,,0,0,0,0,0,0,0,1,0,1,0
,Mutual,Very hard to talk to someone.,0,,0,0,0,0,0,0,0,1,0,1,0
,Mutual,"It's a great platform to meet honest people who have and share like values, morals, and beliefs...",0,,0,1,0,0,0,0,1,0,1,0,0
,Mutual,"best LDS dating app/site. Having had my firstborn at 19, I'm one of the few 30 something year olds with grown up kids and/or teenagers which makes it difficult finding a match. can't believe how many 40 year olds there are with no children. however, the women on this site are the best on the planet, so it's worth keeping temple covenants and wait a few more years. 8 out of 10",0,,0,0,0,0,0,0,1,0,1,0,0
,Mutual,"Daily swipe limits continue to decrease, while average matches has never changed. (Hardly no matches fyi, and when you do no one messages). You could always pay a ridiculously high price for a membership though to help matches...",0,,1,0,0,1,0,0,0,1,0,1,0
,Mutual,"These dirty scum bags make it very difficult to unsubscribe. They hide the unsubscibe button so deep, good luck finding it. Scummy business practices, just because they're a Christian app does not mean they won't try to screw you.",0,,1,0,0,1,0,0,0,0,0,1,0
,Mutual,$71 for a subscription to an app where no one ever replies back. I got scammed. Not to mention you can't even DM someone unless they like you back. That completely defeats the purpose of connecting. How do you know if you like them if you can't talk to them? Whoever owns this app is a scam artist.,0,,1,0,0,1,0,0,0,0,0,1,0
,Senior_Match,Awesome! It feels more real thsn others.,0,1,0,0,0,0,0,,0,0,1,0,0
,Senior_Match,I had a little bit of hard time navigating I didn't know when. I just wanted to glance at somebody and look through them and then maybe can go back and say oh. I think I like that other guy that I looked at but you can't do it on this app. That's why I gave you four stars,0,,1,0,0,0,0,0,0,0,0,1,0
,Senior_Match,Best dating app,0,,0,0,0,0,0,0,0,0,1,0,0
,Senior_Match,This is an awesome app with millions of selection around the world. No hikups or disconnection. Enough free winks per day and likes unlimited. With min sum and subscription you will find your soulmate for sure 👍😊,1,,0,0,0,0,0,0,1,0,1,0,0
,Senior_Match,"No matchs, because only 2 profile came and felt like either was scammer or or AI",0,,0,0,0,0,1,0,0,1,0,1,0
,Senior_Match,"This app seems to just gather your information. Your pictures you post, your ID (claiming ""there was suspicious activity""), etc. It then suspends your account (who know if this app kept your profile up with your pictures. Also looking for a picture on camera roll is inefficient. It makes you go through your ENTIRE camera roll and no option to select a folder to look through.",0,,1,0,0,0,0,1,0,0,0,1,0
,Ourtime,I haven't been able to talk to anyone,0,,0,0,0,0,0,0,0,1,0,1,0
,Ourtime,Just joined,0,,0,0,0,0,0,0,0,0,0,0,1
,Ourtime,Supply lots of information and the quality of returns is awful most of the people they have sent me live 100 mi away or more,0,,0,0,0,0,0,0,0,1,0,1,0
,Ourtime,So far so good easy and and to the point,,1,,,,,,,,,1,,
,Ourtime,Doesn't stick to my deal breaker preference,0,,1,0,0,0,0,0,0,1,0,1,0
,Ourtime,I've had very good experiences on this app.It is a great app for older people looking for a match in love ❤️,1,1,0,0,0,0,0,0,1,0,1,0,0
